arc_i,arc_j,capacity_00,capacity_01,capacity_02,capacity_03,capacity_05,capacity_06,capacity_07,capacity_08,capacity_09,capacity_10,capacity_11,capacity_12,capacity_13,capacity_15,capacity_18
64,132,335116225,73668125,1107772935,9781699,215786585,77686432,61211091,17559742,196443528,3841458,35236181,2921633,41625178,47455202,359378074
65,64,2368426287,520647799,7829159966,69131938,1525066777,549047091,432607994,124103079,1388360161,27149419,249030911,20648577,294184998,335388561,2539896347
65,66,2368426287,520647799,7829159966,69131938,1525066777,549047091,432607994,124103079,1388360161,27149419,249030911,20648577,294184998,335388561,2539896347
66,65,2368426287,520647799,7829159966,69131938,1525066777,549047091,432607994,124103079,1388360161,27149419,249030911,20648577,294184998,335388561,2539896347
66,67,2368426287,520647799,7829159966,69131938,1525066777,549047091,432607994,124103079,1388360161,27149419,249030911,20648577,294184998,335388561,2539896347
67,66,2368426287,520647799,7829159966,69131938,1525066777,549047091,432607994,124103079,1388360161,27149419,249030911,20648577,294184998,335388561,2539896347
67,68,2361907309,519214741,7807610583,68941656,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268,334465420,2532905406
68,67,2361907309,519214741,7807610583,68941656,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268,334465420,2532905406
68,69,2361907309,519214741,7807610583,68941656,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268,334465420,2532905406
69,68,2361907309,519214741,7807610583,68941656,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268,334465420,2532905406
69,70,2361907309,519214741,7807610583,68941656,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268,334465420,2532905406
70,69,2361907309,519214741,7807610583,68941656,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268,334465420,2532905406
70,71,2361907309,519214741,7807610583,68941656,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268,334465420,2532905406
71,70,2361907309,519214741,7807610583,68941656,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268,334465420,2532905406
71,72,2361907309,519214741,7807610583,68941656,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268,334465420,2532905406
72,71,2361907309,519214741,7807610583,68941656,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268,334465420,2532905406
72,73,2361907309,519214741,7807610583,68941656,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268,334465420,2532905406
73,72,2361907309,519214741,7807610583,68941656,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268,334465420,2532905406
73,74,2361907309,519214741,7807610583,68941656,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268,334465420,2532905406
74,73,2361907309,519214741,7807610583,68941656,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268,334465420,2532905406
74,75,2361907309,519214741,7807610583,68941656,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268,334465420,2532905406
75,74,2361907309,519214741,7807610583,68941656,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268,334465420,2532905406
75,76,2361907309,519214741,7807610583,68941656,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268,334465420,2532905406
76,63,2030458008,446352711,6711959176,59266990,1307443709,470699497,370875957,106393892,1190244772,23275268,213494847,17702078,252205563,287529484,2177459736
76,75,2361907309,519214741,7807610583,68941656,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268,334465420,2532905406
77,63,2104000231,462519394,6955063145,61413612,1354798699,487748009,384308907,110247428,1233354872,24118287,221227528,18343239,261340329,297943665,2256326292
77,78,2104000231,462519394,6955063145,61413612,1354798699,487748009,384308907,110247428,1233354872,24118287,221227528,18343239,261340329,297943665,2256326292
78,77,2104000231,462519394,6955063145,61413612,1354798699,487748009,384308907,110247428,1233354872,24118287,221227528,18343239,261340329,297943665,2256326292
78,79,2104000231,462519394,6955063145,61413612,1354798699,487748009,384308907,110247428,1233354872,24118287,221227528,18343239,261340329,297943665,2256326292
79,78,2104000231,462519394,6955063145,61413612,1354798699,487748009,384308907,110247428,1233354872,24118287,221227528,18343239,261340329,297943665,2256326292
79,80,2104000231,462519394,6955063145,61413612,1354798699,487748009,384308907,110247428,1233354872,24118287,221227528,18343239,261340329,297943665,2256326292
80,79,2104000231,462519394,6955063145,61413612,1354798699,487748009,384308907,110247428,1233354872,24118287,221227528,18343239,261340329,297943665,2256326292
80,81,2104000231,462519394,6955063145,61413612,1354798699,487748009,384308907,110247428,1233354872,24118287,221227528,18343239,261340329,297943665,2256326292
81,59,2104000231,462519394,6955063145,61413612,1354798699,487748009,384308907,110247428,1233354872,24118287,221227528,18343239,261340329,297943665,2256326292
81,80,2104000231,462519394,6955063145,61413612,1354798699,487748009,384308907,110247428,1233354872,24118287,221227528,18343239,261340329,297943665,2256326292
82,83,2501250469,549846351,8268228630,73008940,1610594348,579838309,456869168,131062928,1466221061,28671991,262996862,21806574,310683245,354197553,2682336775
82,128,2501250469,549846351,8268228630,73008940,1610594348,579838309,456869168,131062928,1466221061,28671991,262996862,21806574,310683245,354197553,2682336775
83,82,2501250469,549846351,8268228630,73008940,1610594348,579838309,456869168,131062928,1466221061,28671991,262996862,21806574,310683245,354197553,2682336775
83,84,2501250469,549846351,8268228630,73008940,1610594348,579838309,456869168,131062928,1466221061,28671991,262996862,21806574,310683245,354197553,2682336775
84,83,2501250469,549846351,8268228630,73008940,1610594348,579838309,456869168,131062928,1466221061,28671991,262996862,21806574,310683245,354197553,2682336775
84,85,2501250469,549846351,8268228630,73008940,1610594348,579838309,456869168,131062928,1466221061,28671991,262996862,21806574,310683245,354197553,2682336775
85,84,2501250469,549846351,8268228630,73008940,1610594348,579838309,456869168,131062928,1466221061,28671991,262996862,21806574,310683245,354197553,2682336775
85,150,281334655,61845399,929990530,8211870,181155790,65218822,51387548,14741643,164917029,3224956,29581256,2452751,34944906,39839291,301702808
85,86,2313422408,508556374,7647337052,67526431,1489648918,536296126,422561188,121220933,1356117150,26518907,243247465,20169038,287352902,327599561,2480910280
86,85,2313422408,508556374,7647337052,67526431,1489648918,536296126,422561188,121220933,1356117150,26518907,243247465,20169038,287352902,327599561,2480910280
86,87,2343980118,515273833,7748349782,68418380,1509325506,543379995,428142747,122822125,1374029934,26869192,246460490,20435448,291148511,331926783,2513680317
87,88,2343980118,515273833,7748349782,68418380,1509325506,543379995,428142747,122822125,1374029934,26869192,246460490,20435448,291148511,331926783,2513680317
87,86,2343980118,515273833,7748349782,68418380,1509325506,543379995,428142747,122822125,1374029934,26869192,246460490,20435448,291148511,331926783,2513680317
88,87,2343980118,515273833,7748349782,68418380,1509325506,543379995,428142747,122822125,1374029934,26869192,246460490,20435448,291148511,331926783,2513680317
88,89,2343980118,515273833,7748349782,68418380,1509325506,543379995,428142747,122822125,1374029934,26869192,246460490,20435448,291148511,331926783,2513680317
89,88,2343980118,515273833,7748349782,68418380,1509325506,543379995,428142747,122822125,1374029934,26869192,246460490,20435448,291148511,331926783,2513680317
89,90,2343980118,515273833,7748349782,68418380,1509325506,543379995,428142747,122822125,1374029934,26869192,246460490,20435448,291148511,331926783,2513680317
90,89,2343980118,515273833,7748349782,68418380,1509325506,543379995,428142747,122822125,1374029934,26869192,246460490,20435448,291148511,331926783,2513680317
90,64,2223990175,488896613,7351706463,64915996,1432062102,515564002,406225827,116534777,1303692403,25493739,233844009,19389344,276244420,314935224,2385003304
91,116,2214211708,486747026,7319382390,64630572,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825,313550513,2374516893
91,92,2214211708,486747026,7319382390,64630572,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825,313550513,2374516893
92,91,2214211708,486747026,7319382390,64630572,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825,313550513,2374516893
92,93,2214211708,486747026,7319382390,64630572,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825,313550513,2374516893
93,92,2214211708,486747026,7319382390,64630572,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825,313550513,2374516893
93,94,2214211708,486747026,7319382390,64630572,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825,313550513,2374516893
94,93,2214211708,486747026,7319382390,64630572,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825,313550513,2374516893
94,95,2214211708,486747026,7319382390,64630572,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825,313550513,2374516893
95,94,2214211708,486747026,7319382390,64630572,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825,313550513,2374516893
95,96,2214211708,486747026,7319382390,64630572,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825,313550513,2374516893
96,95,2214211708,486747026,7319382390,64630572,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825,313550513,2374516893
96,97,2211155937,486075281,7309281117,64541378,1423797935,512588777,403881572,115862276,1296169033,25346620,232494539,19277452,274650264,313117791,2371239889
97,96,2211155937,486075281,7309281117,64541378,1423797935,512588777,403881572,115862276,1296169033,25346620,232494539,19277452,274650264,313117791,2371239889
97,98,2214211708,486747026,7319382390,64630572,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825,313550513,2374516893
98,97,2214211708,486747026,7319382390,64630572,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825,313550513,2374516893
98,99,2214211708,486747026,7319382390,64630572,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825,313550513,2374516893
